width_um,frequency_THz,frequency_Hz,lambda_um,beta_rad_per_um,n_eff_from_beta
0.4,190.04611149240907,190046111492409.06,1.5774722021185605,5.842243302423552,1.4667682006856781
0.4,190.058615348682,190058615348682.0,1.5773684210526318,5.842661987801317,1.4667768120592501
0.4,190.07111920495495,190071119204954.97,1.5772646536412078,5.84308068740682,1.4667854258714024
0.4,190.08362306122788,190083623061227.88,1.5771608998815947,5.843499401239408,1.4667940421214904
0.4,190.0961269175008,190096126917500.8,1.577057159771098,5.84391812929843,1.4668026608088693
0.4,190.10863077377377,190108630773773.78,1.5769534333070243,5.844336871583231,1.4668112819328933
0.4,190.1211346300467,190121134630046.7,1.5768497204866823,5.8447556280931545,1.4668199054929185
0.4,190.13363848631963,190133638486319.62,1.576746021307379,5.845174398827551,1.4668285314882992
0.4,190.14614234259258,190146142342592.6,1.5766423357664234,5.845593183785764,1.4668371599183916
0.4,190.1586461988655,190158646198865.5,1.576538663861126,5.84601198296714,1.4668457907825514
0.4,190.17115005513847,190171150055138.47,1.5764350055887963,5.8464307963710285,1.4668544240801342
0.4,190.1836539114114,190183653911411.4,1.5763313609467455,5.846849623996771,1.466863059810496
0.4,190.19615776768433,190196157767684.3,1.5762277299322862,5.847268465843717,1.4668716979729934
0.4,190.20866162395728,190208661623957.28,1.5761241125427294,5.847687321911214,1.4668803385669826
0.4,190.2211654802302,190221165480230.22,1.5760205087753896,5.848106192198603,1.46688898159182
0.4,190.23366933650317,190233669336503.16,1.57591691862758,5.848525076705236,1.4668976270468626
0.4,190.2461731927761,190246173192776.1,1.5758133420966154,5.848943975430457,1.466906274931467
0.4,190.25867704904903,190258677049049.03,1.575709779179811,5.849362888373609,1.4669149252449896
0.4,190.27118090532198,190271180905321.97,1.5756062298744826,5.849781815534045,1.4669235779867893
0.4,190.2836847615949,190283684761594.9,1.5755026941779473,5.850200756911106,1.466932233156222
0.4,190.29618861786784,190296188617867.84,1.5753991720875224,5.850619712504143,1.4669408907526469
0.4,190.3086924741408,190308692474140.8,1.5752956636005258,5.851038682312497,1.4669495507754196
0.4,190.32119633041373,190321196330413.72,1.5751921687142767,5.851457666335518,1.4669582132238999
0.4,190.33370018668668,190333700186686.7,1.5750886874260939,5.851876664572551,1.4669668780974439
0.4,190.3462040429596,190346204042959.62,1.5749852197332983,5.852295677022941,1.4669755453954112
0.4,190.35870789923254,190358707899232.53,1.5748817656332113,5.852714703686037,1.466984215117161
0.4,190.3712117555055,190371211755505.5,1.5747783251231529,5.853133744561184,1.4669928872620495
0.4,190.38371561177843,190383715611778.44,1.5746748982004468,5.853552799647729,1.4670015618294376
0.4,190.39621946805138,190396219468051.38,1.5745714848624155,5.853971868945017,1.467010238818683
0.4,190.4087233243243,190408723324324.3,1.574468085106383,5.854390952452395,1.467018918229145
0.4,190.42122718059724,190421227180597.25,1.5743646989296738,5.854810050169208,1.4670276000601832
0.4,190.4337310368702,190433731036870.2,1.5742613263296128,5.855229162094806,1.4670362843111568
0.4,190.44623489314313,190446234893143.12,1.5741579673035258,5.855648288228532,1.4670449709814255
0.4,190.45873874941606,190458738749416.06,1.5740546218487397,5.856067428569731,1.4670536600703485
0.4,190.471242605689,190471242605689.0,1.5739512899625816,5.856486583117754,1.4670623515772867
0.4,190.48374646196194,190483746461961.94,1.5738479716423792,5.856905751872453,1.4670710455017268
0.4,190.4962503182349,190496250318234.9,1.573744666885461,5.857324934840463,1.4670797418448542
0.4,190.50875417450783,190508754174507.84,1.5736413756891572,5.857744132033243,1.4670884406090638
0.4,190.52125803078076,190521258030780.75,1.5735380980507976,5.85816334346235,1.4670971417967726
0.4,190.5337618870537,190533761887053.72,1.5734348339677124,5.858582569139351,1.4671058454103998
0.4,190.54626574332664,190546265743326.66,1.5733315834372334,5.859001809075805,1.4671145514523622
0.4,190.5587695995996,190558769599599.6,1.5732283464566932,5.85942106328327,1.4671232599250765
0.4,190.57127345587253,190571273455872.53,1.5731251230234238,5.859840331773311,1.467131970830959
0.4,190.58377731214546,190583777312145.47,1.5730219131347594,5.8602596145574894,1.4671406841724255
0.4,190.59628116841841,190596281168418.4,1.5729187167880339,5.860678911647365,1.4671493999518905
0.4,190.60878502469134,190608785024691.34,1.5728155339805827,5.8610982230544995,1.4671581181717686
0.4,190.62128888096427,190621288880964.28,1.572712364709741,5.861517548790452,1.4671668388344723
0.4,190.63379273723723,190633792737237.22,1.5726092089728454,5.86193688886679,1.4671755619424165
0.4,190.64629659351016,190646296593510.16,1.5725060667672333,5.862356243295068,1.467184287498012
0.4,190.65880044978312,190658800449783.12,1.5724029380902413,5.86277561208685,1.4671930155036708
0.4,190.67130430605604,190671304306056.03,1.5722998229392093,5.863194995253696,1.4672017459618045
0.4,190.68380816232897,190683808162328.97,1.5721967213114758,5.863614392807169,1.4672104788748228
0.4,190.69631201860193,190696312018601.94,1.57209363320438,5.864033804758831,1.467219214245136
0.4,190.70881587487486,190708815874874.84,1.5719905586152638,5.864453231120242,1.4672279520751537
0.4,190.7213197311478,190721319731147.78,1.5718874975414676,5.86487267190296,1.4672366923672828
0.4,190.73382358742074,190733823587420.75,1.571784449980333,5.865292127118553,1.4672454351239328
0.4,190.74632744369367,190746327443693.7,1.5716814159292036,5.865711596778578,1.4672541803475105
0.4,190.75883129996663,190758831299966.62,1.5715783953854223,5.866131080894596,1.4672629280404226
0.4,190.77133515623956,190771335156239.56,1.571475388346333,5.86655057947817,1.4672716782050752
0.4,190.7838390125125,190783839012512.5,1.5713723948092804,5.866970092540858,1.4672804308438725
0.4,190.79634286878544,190796342868785.44,1.5712694147716104,5.867389620094226,1.4672891859592214
0.4,190.80884672505837,190808846725058.38,1.5711664482306686,5.867809162149831,1.4672979435535243
0.4,190.82135058133133,190821350581331.34,1.5710634951838018,5.868228718719237,1.4673067036291854
0.4,190.83385443760426,190833854437604.25,1.5709605556283581,5.868648289814004,1.4673154661886074
0.4,190.8463582938772,190846358293877.2,1.5708576295616854,5.869067875445694,1.4673242312341923
